"ID","TRANSITIVITY","BETWEENNESS","EIGENVECTOR","NODE_STRENGTH","NODE_DEGREE"
1,0,0,0.442840305757482,0.725,3
2,0,4,0.342575358991432,0.5929,3
3,0.292776655030927,43.5,0.756983619957046,1.0886,7
4,0.242817094799474,79,0.76518428759319,1.2485,8
5,0.205926754263349,40,0.568481538291464,1.0731,6
6,0,0,0.123247517396007,0.1667,1
7,0.241843724602345,130,0.769269375824328,1.2441,10
8,0.129039909170088,89,0.820868036341881,1.4288,10
9,0.117659514398645,16,1,1.4168,7
10,0,0,0.37403847365875,0.7,2
11,0.148399660458381,47,0.829531336877392,1.1444,8
12,0,0,0.170655745382746,0.3333,1
13,0.351104033970276,18,0.850327711609509,1.1775,7
14,0,34.5,0.725531177153252,0.9108,5
15,0.0842360454115421,62,0.765224430191011,1.208,8
16,0.382860700741496,28,0.822535155916825,1.1778,7
17,0.234929164631168,42,0.667847290164087,1.0235,7
18,0.274481640217769,15,0.618779694457878,0.8633,6
19,0.0669407547965423,84.5,0.654866553582829,1.2648,7
20,0,27,0.524497807814891,1.0667,4
21,0.0937362532275031,60,0.528310729076045,1.0457,6
22,0.258160086464492,83,0.600916497777832,1.1235,8
23,0.190846071366232,100.5,0.839642993831324,1.1458,8
24,1,7,0.220903022282737,0.2858,2
25,0.159333885785608,229,0.947058253845374,1.6291,13
26,0,0,0.108246374185014,0.2,1
27,0.350256786500367,25,0.71050087041583,0.9541,6
28,0,0,0.255750565984492,0.5,2
29,0.367451761076209,86,0.917916870306292,1.2893,10
30,0.129673902648943,59,0.607503643077773,1.0457,7
31,0,0,0.442840305757482,0.725,3
32,0,4,0.342575358991432,0.5929,3
33,0.292776655030927,43.5,0.756983619957046,1.0886,7
34,0.242817094799474,79,0.76518428759319,1.2485,8
35,0.205926754263349,40,0.568481538291464,1.0731,6
36,0,0,0.123247517396007,0.1667,1
37,0.241843724602345,130,0.769269375824328,1.2441,10
38,0.129039909170088,89,0.820868036341881,1.4288,10
39,0.117659514398645,16,1,1.4168,7
40,0,0,0.37403847365875,0.7,2
